k_ge,P_ge
1.495,60.82072358942119
1.505,57.87095564587772
1.5150000000000001,58.22280850236017
1.525,58.50394927300331
1.5350000000000001,56.382968314700264
1.545,56.17385240176
1.5550000000000002,56.917994166250324
1.565,55.16679771950498
1.5750000000000002,54.59462195974727
1.585,54.03956859662325
1.5950000000000002,51.90085640135039
1.605,51.786666540601956
1.6150000000000002,52.774588914143195
1.625,51.00814789413964
1.6350000000000002,50.13118555299137
1.645,49.8166067620807
1.6550000000000002,49.32091997009201
1.665,49.36290025601766
1.6749999999999998,49.02029279844878
1.685,48.53456369224716
1.6949999999999998,47.424803995215896
1.705,47.25697428019151
1.7149999999999999,45.18135183514161
1.725,45.89131423432854
1.7349999999999999,44.772628162853266
1.745,44.78452016208032
1.755,43.938221996977674
1.7650000000000001,43.81785892308876
1.775,43.619567163583774
1.7850000000000001,41.98988734255586
1.795,41.80499602396565
1.8050000000000002,41.70136121065171
1.815,41.14565000500271
1.8250000000000002,39.85645413905123
1.835,40.449173798539256
1.8450000000000002,39.4105119584485
1.855,39.21743352234089
1.8650000000000002,39.41923237164916
1.875,38.58123501551014
1.8850000000000002,36.83005421226135
1.895,38.31786310903935
1.9050000000000002,37.31788621929195
1.915,37.524379262061395
1.9249999999999998,35.56109117206889
1.935,35.231351932532434
1.9449999999999998,34.284992099373305
1.955,35.55568713919247
1.9649999999999999,35.16042029976907
1.975,34.324238092969225
1.9849999999999999,33.956775126129564
1.995,34.28413527156547
2.005,33.55553848747543
2.015,32.595938944541665
2.0250000000000004,32.673339763609874
2.035,32.94220919737305
2.045,31.93005432011863
2.0549999999999997,31.522884371948994
2.065,31.091795097482827
2.075,30.886589502901913
2.085,30.111915053380383
2.0949999999999998,30.417876859857994
2.105,29.779809995351034
2.115,29.56644357523308
2.125,29.423485146927195
2.135,29.070582235780112
2.145,29.618911333407524
2.1550000000000002,28.11396917484
2.165,27.940907716177197
2.175,27.282917530782182
2.185,26.87265394610116
2.1950000000000003,26.83836658889687
2.205,26.40613282513032
2.215,26.319315064748313
2.225,26.17202153524978
2.2350000000000003,25.611094881242536
2.245,25.19260558762829
2.255,24.530534762141457
2.265,24.841712262502043
2.2750000000000004,24.633684220480184
2.285,24.466718759311703
2.295,24.199579729544926
2.305,23.560344156892295
2.315,23.597934793546564
2.325,23.44130791245213
2.335,23.144216392427477
2.3449999999999998,23.43470987977258
2.355,22.604516811139646
2.365,22.179990294635033
2.375,22.41041849820031
2.385,21.67492149040481
2.395,22.116942898968613
2.4050000000000002,21.413309568776686
2.415,21.44529219622667
2.425,21.16990035847406
2.435,20.658600825395638
2.4450000000000003,20.720949572088887
2.455,20.229141507085842
